RANK,CHANGE,COUNTRY,PLAYER,AVERAGE POINTS,TOTAL POINTS,EVENTS PLAYED,
334,-12,AUS,CHOI ROBYN,0.34,15.6,46,☆
335,-6,KOR,SEOYEON2 YOO,0.34,19.82,59,☆
336,-4,KOR,SEHEE LEE,0.33,15.85,48,☆
337,-4,ENG,HANNAH BURKE,0.33,15.35,47,☆
338,-8,CHN,MIRANDA WANG,0.33,12.39,38,☆
339,-8,THA,AUNCHISA UTAMA,0.33,11.4,27,☆
340,-4,SLO,PIA BABNIK,0.32,13.31,41,☆
341,-2,KOR,JINYEONG LIM,0.32,11.92,37,☆
342,-7,KOR,SOOMIN OH,0.32,11.19,13,☆
343,-6,JPN,RUI HIRAOKA,0.32,14.28,45,☆
344,-6,KOR,DOEUN PARK,0.32,17.36,55,☆
345,-11,CAN,MADDIE SZERYK,0.31,11.95,38,☆
346,-5,JPN,KUMIKO KANEDA,0.31,20.74,66,☆
347,52,THA,CHOLCHEVA WONGRAS,0.31,10.93,27,☆
348,-5,TPE,PEI-YING TSAI,0.31,20.28,65,☆
349,-5,KOR,JIHYUN3 LEE,0.31,16.2,52,☆
350,-5,ITA,VIRGINIA ELENA CARTA,0.31,13.39,43,☆
351,125,CHN,MARY LIU,0.31,10.83,33,☆
352,-12,JPN,SEIRA OKI,0.31,20.4,66,☆
353,-7,GER,SOPHIA POPOV,0.31,10.8,17,☆
354,-12,USA,MARIEL GALDIANO,0.31,11.1,36,☆
355,24,KOR,MINJI KANG,0.3,10.56,34,☆
356,-8,JPN,NOZOMI OHSUGA,0.3,12.03,40,☆
357,-6,TPE,VIVIAN HOU,0.3,10.51,29,☆
358,-9,KOR,HAERYM KIM,0.3,17.39,58,☆
359,-2,KOR,YUJIN SHIN,0.3,11.39,38,☆
360,-7,CHN,SHUYING LI,0.3,13.71,46,☆
361,-3,JPN,MIZUKI OIDE,0.3,19.55,66,☆
362,10,DEN,SOFIE KIBSGAARD NIELSEN,0.3,10.36,32,☆
363,-13,CHN,MUNI HE,0.3,10.33,32,☆
364,-10,ESP,CARMEN ALONSO,0.29,14.14,48,☆
365,-2,GER,PATRICIA SCHMIDT,0.29,14.99,51,☆
366,3,USA,KAITLYN PAPP BUDDE,0.29,10.28,32,☆
367,-8,KOR,YEONHEE KIM,0.29,13.22,45,☆
368,-2,KOR,SEOYEON KWON,0.29,13.18,45,☆
369,-2,KOR,SEOYOON2 KIM,0.29,14.05,48,☆
370,14,JPN,AYAKA WATANABE,0.29,17.43,60,☆
371,-16,CZE,KRISTYNA NAPOLEAOVA,0.29,12.73,44,☆
372,-12,MAS,NATASHA OON,0.29,10.11,23,☆
373,-9,USA,BRITTANY LINCICOME,0.29,10.1,27,☆
374,-6,KOR,SEULGI JEONG,0.29,16.08,56,☆
375,-5,RSA,KALEIGH TELFER,0.29,11.41,40,☆
376,-11,JPN,ERI OKAYAMA,0.28,13.31,47,☆
377,1,KOR,JINYOUNG2 HONG,0.28,15.56,55,☆
378,-2,KOR,NA-RI LEE,0.28,16.11,57,☆
379,25,USA,JENNY BAE,0.28,9.86,24,☆
380,-7,ECU,DANIELA DARQUEA,0.28,10.69,38,☆
381,-10,TPE,YU-JU CHEN,0.28,9.84,31,☆
382,12,SWE,INGRID LINDBLAD,0.28,9.82,9,☆
383,58,USA,JESSICA PORVASNIK,0.28,12.05,43,☆
384,28,TPE,BABE LIU,0.28,9.8,31,☆
385,-11,KOR,JIHYUN2 LEE,0.28,11.19,40,☆
386,-11,KOR,JISUN KANG,0.28,9.79,29,☆
387,-10,USA,JASMINE KOO,0.28,9.77,1,☆
388,-8,USA,DANIELA IACOBELLI,0.28,11.98,43,☆
389,29,USA,DANA FALL,0.28,9.71,33,☆
390,-8,TPE,YU-SANG HOU,0.27,12.45,46,☆
391,-10,KOR,SUNG HYUN PARK,0.27,9.45,27,☆
392,-7,CHN,YAHUI ZHANG,0.27,9.42,19,☆
393,-6,JPN,RUMI YOSHIBA,0.27,16.68,62,☆
394,-5,JPN,AYA KINOSHITA,0.27,15.06,56,☆
395,-9,KOR,HYUNJI HONG,0.27,9.4,24,☆
396,6,JPN,SAKI BABA,0.27,9.36,30,☆
397,90,JPN,KANO NAKAMURA,0.27,9.61,36,☆
398,27,THA,SHERMAN SANTIWIWATTANAPHONG,0.26,9.25,34,☆
399,-11,ENG,ANNABEL DIMMOCK,0.26,9.23,31,☆
400,-17,TPE,MIN LEE,0.26,10.76,41,☆
